Label,Alkali sorbent,Transport,Transport Distance,Building savings,Avoided product,"Acidification, mol H+ eq","Climate change (total), kg CO2 eq","Climate change (biogenic), kg CO2 eq","Climate change (fossil), kg CO2 eq","Climate change (land use), kg CO2 eq","Ecotoxicity: freshwater, CTUe","ecotoxicity: freshwater, inorganics, CTUe","ecotoxicity: freshwater, organics, CTUe","energy resources: non-renewable, Mjeq","eutrophication: freshwater, kg P eq","eutrophication: marine , kg N eq"," eutrophication: terrestrial, mol N-eq","human toxicity: carcinogenic , CTUh","human toxicity: carcinogenic , inorganics, CTUh","human toxicity: carcinogenic , organics, CTUh","human toxicity: non-carcinogenic , CTUh","human toxicity: non-carcinogenic , inorganics, CTUh","human toxicity: non-carcinogenic , organics, CTUh","ionising radiation: human health , kg Bq U235eq","land use, (dimensionless)","material resources: metals/minerals, kg Sb-eq","ozone depletion, kg CFC11-eq","particulate matter formation, disease incidence","photochemical oxidant formation: human health, kg NMVOC-eq","water use , m3 world eq depriv","Cost, USD2023"
"MgO - Renewable, optimised transport, building savings considered, avoided product Aggregate",MgO - Renewable,1,200,1,Aggregate,-23.47483188,-19350.66973,-4.073159046,-19343.29342,-3.303154032,411659.3756,387028.9571,24630.41853,-456018.6871,-0.169274313,-4.872793126,-45.60267665,6.21E-05,6.60E-05,-3.91E-06,0.00109009,0.001094195,-4.10E-06,-815.5590975,-9733.152675,-0.000545658,-0.012533866,0.004579661,-38.64814524,-745.7810647,-9355.806492
"MgO - Renewable, optimised transport, building savings considered, avoided product Filler",MgO - Renewable,1,200,1,Filler,-75.13586016,-29577.02088,-14.01699086,-29554.55333,-8.450557957,376608.1672,353175.0458,23433.12142,-601293.1788,-0.40532373,-14.38567351,-154.4849009,5.24E-05,5.84E-05,-5.99E-06,0.000898766,0.000912859,-1.41E-05,-1062.968648,-25051.11695,-0.00088995,-0.229738392,0.004197282,-83.13253805,-4014.519001,-9355.806492
"MgO - Renewable, optimised transport, short distance",MgO - Renewable,1,50,0,None,78.60717415,21739.96068,3.195038089,21734.01327,2.752368345,452326.6996,423369.4473,28957.25236,123171.4577,0.375284091,13.3380499,157.1605204,7.30E-05,7.05E-05,2.45E-06,0.001232013,0.001227162,4.85E-06,152.2931756,59048.00187,0.000160282,0.027702047,0.004864417,52.06868948,2132.582832,9544.387925
"MgO - Renewable, optimised transport, short distance, avoided product SCM",MgO - Renewable,1,50,0,SCM,27.31176233,-3885.328542,0.282863812,-3886.152683,0.541277117,394228.1886,366869.5319,27358.65679,31114.4,0.125729767,-1.73705969,-18.31022776,6.86E-05,6.77E-05,9.36E-07,0.001071676,0.001068583,3.09E-06,8.626765057,42896.92079,0.000102569,-0.079303541,0.004551635,4.102252417,421.6001402,8459.53944
"MgO - Renewable, optimised transport, short distance, avoided product Aggregate",MgO - Renewable,1,50,0,Aggregate,76.20685663,21394.68093,2.958466312,21389.21597,2.506495441,450054.5686,421189.2904,28865.27821,118511.0416,0.369796088,12.51338792,148.0853023,7.27E-05,7.04E-05,2.30E-06,0.001228747,0.001224177,4.57E-06,148.3219228,36456.08112,0.000155365,0.026325404,0.004822481,49.21179917,2047.922854,9137.569743
"MgO - Renewable, optimised transport, short distance, avoided product Filler",MgO - Renewable,1,50,0,Filler,24.54582835,11168.32978,-6.985365507,11177.95605,-2.640908484,415003.3602,387335.3791,27667.9811,-26763.45018,0.133746671,3.00050753,39.20307809,6.30E-05,6.28E-05,2.27E-07,0.001037423,0.001042841,-5.42E-06,-99.08762777,21138.11684,-0.000188927,-0.190879122,0.004440102,4.72740636,-1220.815083,9137.569743
"MgO - Renewable, optimised transport, short distance, building savings considered",MgO - Renewable,1,50,1,None,-24.16194337,-20133.21423,-4.157064489,-20125.42146,-3.635704846,404961.5566,380573.6249,24387.93166,-468500.0396,-0.17467918,-4.847547639,-44.93183124,6.18E-05,6.58E-05,-4.02E-06,0.001080959,0.00108538,-4.42E-06,-817.9867103,-4364.369904,-0.000559877,-0.01439412,0.00451065,-40.23859851,-747.0493017,-10177.68308
"MgO - Renewable, optimised transport, short distance, building savings considered, avoided product SCM",MgO - Renewable,1,50,1,SCM,-75.45735518,-45758.50345,-7.069238766,-45745.58741,-5.846796075,346863.0456,324073.7095,22789.33609,-560557.0974,-0.424233504,-19.92265723,-220.4025794,5.75E-05,6.30E-05,-5.53E-06,0.000920623,0.000926801,-6.18E-06,-961.6531208,-20515.45098,-0.00061759,-0.121399708,0.004197868,-88.20503557,-2458.031993,-11262.53156
"MgO - Renewable, optimised transport, short distance, building savings considered, avoided product Aggregate",MgO - Renewable,1,50,1,Aggregate,-26.56226089,-20478.49398,-4.393636266,-20470.21877,-3.88157775,402689.4256,378393.4681,24295.95751,-473160.4558,-0.180167183,-5.672209623,-54.00704933,6.16E-05,6.57E-05,-4.17E-06,0.001077693,0.001082394,-4.70E-06,-821.9579631,-26956.29066,-0.000564795,-0.015770763,0.004468714,-43.09548882,-831.7092799,-10584.50126
"MgO - Renewable, optimised transport, short distance, building savings considered, avoided product Filler",MgO - Renewable,1,50,1,Filler,-78.22328916,-30704.84513,-14.33746808,-30681.47868,-9.028981675,367638.2172,344539.5568,23098.66041,-618434.9476,-0.4162166,-15.18509001,-162.8892736,5.19E-05,5.81E-05,-6.24E-06,0.00088637,0.000901058,-1.47E-05,-1069.367514,-42274.25493,-0.000909086,-0.232975289,0.004086335,-87.57988163,-4100.447216,-10584.50126
