Label,Alkali sorbent,Transport,Transport Distance,Building savings,Avoided product,"Acidification, mol H+ eq","Climate change (total), kg CO2 eq","Climate change (biogenic), kg CO2 eq","Climate change (fossil), kg CO2 eq","Climate change (land use), kg CO2 eq","Ecotoxicity: freshwater, CTUe","ecotoxicity: freshwater, inorganics, CTUe","ecotoxicity: freshwater, organics, CTUe","energy resources: non-renewable, Mjeq","eutrophication: freshwater, kg P eq","eutrophication: marine , kg N eq"," eutrophication: terrestrial, mol N-eq","human toxicity: carcinogenic , CTUh","human toxicity: carcinogenic , inorganics, CTUh","human toxicity: carcinogenic , organics, CTUh","human toxicity: non-carcinogenic , CTUh","human toxicity: non-carcinogenic , inorganics, CTUh","human toxicity: non-carcinogenic , organics, CTUh","ionising radiation: human health , kg Bq U235eq","land use, (dimensionless)","material resources: metals/minerals, kg Sb-eq","ozone depletion, kg CFC11-eq","particulate matter formation, disease incidence","photochemical oxidant formation: human health, kg NMVOC-eq","water use , m3 world eq depriv","Cost, USD2023"
"MgO - Commercial, optimised transport, avoided product Aggregate",MgO - Commercial,1,200,0,Aggregate,43.51471958,8936.357848,2.357496054,8932.020821,1.979530822,268445.3359,251486.4488,16958.88708,86293.85663,0.233146845,7.092735925,83.50940389,4.27177E-05,4.11039E-05,1.61381E-06,0.000724097,0.000720886,3.21084E-06,187.802857,20095.09969,9.69121E-05,0.023342558,0.0028765,30.11114313,1243.576635,6250.459747
"MgO - Commercial, optimised transport, avoided product Filler",MgO - Commercial,1,200,0,Filler,46.93049841,9427.709202,2.694150209,9422.68563,2.329420973,271678.6985,254588.9274,17089.77117,92925.87543,0.240956563,8.26627356,96.42391938,4.30951E-05,4.12674E-05,1.82768E-06,0.000728744,0.000725135,3.60969E-06,193.4541599,52244.59822,0.000103909,0.025301594,0.002936178,34.1766492,1364.052263,6829.383544
"MgO - Commercial, optimised transport, building savings considered",MgO - Commercial,1,200,1,None,-16.19944766,-28035.28686,-13.39094211,-28019.36953,-2.526389317,237821.5551,224870.9478,12950.60734,-526870.988,-0.46444574,-2.644957173,-26.11475612,3.38438E-05,3.74367E-05,-3.59294E-06,0.000601186,0.000605569,-4.38305E-06,-2702.874712,25821.17477,-0.00040952,-0.013671872,0.002673398,-35.26822864,-1497.623185,-29801.72958
"MgO - Commercial, optimised transport, building savings considered, avoided product SCM",MgO - Commercial,1,200,1,SCM,-89.19553263,-64501.42921,-17.53512018,-64478.2212,-5.672889121,155144.3001,144468.5789,10675.72126,-657873.0517,-0.819574747,-24.09763572,-275.8189146,2.76301E-05,3.33805E-05,-5.75038E-06,0.000373018,0.000379903,-6.88429E-06,-2907.319615,2837.331869,-0.000491648,-0.165946486,0.002228293,-103.5270064,-3932.442081,-30380.65338
"MgO - Commercial, optimised transport, building savings considered, avoided product Aggregate",MgO - Commercial,1,200,1,Aggregate,-19.61522649,-28526.63822,-13.72759626,-28510.03434,-2.876279469,234588.1925,221768.4692,12819.72326,-533503.0068,-0.472255459,-3.818494807,-39.02927161,3.34664E-05,3.72732E-05,-3.80682E-06,0.000596538,0.00060132,-4.7819E-06,-2708.526015,-6328.323763,-0.000416517,-0.015630908,0.002613721,-39.3337347,-1618.098813,-30380.65338
"MgO - Commercial, optimised transport, building savings considered, avoided product Filler",MgO - Commercial,1,200,1,Filler,-16.19944766,-28035.28686,-13.39094211,-28019.36953,-2.526389317,237821.5551,224870.9478,12950.60734,-526870.988,-0.46444574,-2.644957173,-26.11475612,3.38438E-05,3.74367E-05,-3.59294E-06,0.000601186,0.000605569,-4.38305E-06,-2702.874712,25821.17477,-0.00040952,-0.013671872,0.002673398,-35.26822864,-1497.623185,-29801.72958
"MgO - Commercial, optimised transport, short distance",MgO - Commercial,1,50,0,None,43.6036565,8212.42847,2.348821768,8208.373505,1.70614372,262013.1789,245283.8043,16729.37457,74454.85806,0.229219012,7.40486677,87.36783445,4.25288E-05,4.09746E-05,1.55426E-06,0.000715386,0.000712419,2.96758E-06,186.5590979,33685.9019,8.3289E-05,0.021813693,0.002816627,29.38443892,1271.460793,5505.410344
"MgO - Commercial, optimised transport, short distance, avoided product SCM",MgO - Commercial,1,50,0,SCM,-29.39242847,-28253.71388,-1.795356306,-28250.47817,-1.440356084,179335.9239,164881.4354,14454.48849,-56547.20569,-0.125909994,-14.04781178,-162.3363241,3.63152E-05,3.69184E-05,-6.03176E-07,0.000487219,0.000486752,4.66343E-07,-17.88580543,10702.059,1.16063E-06,-0.13046092,0.002371522,-38.87433884,-1163.358102,4926.486548
"MgO - Commercial, optimised transport, short distance, avoided product Aggregate",MgO - Commercial,1,50,0,Aggregate,40.18787767,7721.077117,2.012167613,7717.708696,1.356253568,258779.8163,242181.3258,16598.49048,67822.83926,0.221409294,6.231329136,74.45331895,4.21514E-05,4.08111E-05,1.34039E-06,0.000710739,0.00070817,2.56873E-06,180.907795,1536.403366,7.62917E-05,0.019854657,0.002756949,25.31893285,1150.985165,4926.486548
"MgO - Commercial, optimised transport, short distance, avoided product Filler",MgO - Commercial,1,50,0,Filler,43.6036565,8212.42847,2.348821768,8208.373505,1.70614372,262013.1789,245283.8043,16729.37457,74454.85806,0.229219012,7.40486677,87.36783445,4.25288E-05,4.09746E-05,1.55426E-06,0.000715386,0.000712419,2.96758E-06,186.5590979,33685.9019,8.3289E-05,0.021813693,0.002816627,29.38443892,1271.460793,5505.410344
